,Date,Open,High,Low,Close,Adj Close,Volume,SMA60,Deviation,Increase Rate,Kyousi
177,2001-09-19,9682.51953125,10061.099609375,9681.7900390625,9939.599609375,9939.599609375,0,11528.279947916666,0.8621927689369857,0,1
178,2001-09-20,9837.169921875,9842.16015625,9688.1201171875,9785.16015625,9785.16015625,0,11477.549609375,0.8525478424643326,0,0
179,2001-09-21,9658.1904296875,9658.1904296875,9382.9501953125,9554.990234375,9554.990234375,0,11425.468115234375,0.836288731280486,1,0
180,2001-09-25,9637.599609375,9867.8603515625,9593.0703125,9693.9697265625,9693.9697265625,0,11370.883447265625,0.852525643369744,1,1
181,2001-09-26,9687.509765625,9697.1201171875,9551.73046875,9641.7001953125,9641.7001953125,0,11319.0587890625,0.8518111244928938,1,1
182,2001-09-27,9601.0703125,9727.2998046875,9585.8095703125,9696.5302734375,9696.5302734375,0,11267.044124348959,0.860609949372839,1,1
183,2001-09-28,9783.7998046875,9933.6904296875,9737.419921875,9774.6796875,9774.6796875,0,11219.471793619792,0.8712245876903576,1,1
184,2001-10-01,9766.75,9972.2802734375,9604.08984375,9972.2802734375,9972.2802734375,0,11175.554801432292,0.8923297724923172,1,1
185,2001-10-02,9937.8095703125,10136.5595703125,9871.9404296875,10136.5595703125,10136.5595703125,0,11139.396126302083,0.9099738850635082,0,1
186,2001-10-03,10194.73046875,10221.8203125,9924.23046875,9924.23046875,9924.23046875,0,11100.805305989583,0.8940099565024578,1,0
187,2001-10-04,10038.6103515625,10215.8896484375,10038.6103515625,10205.48046875,10205.48046875,0,11065.889811197916,0.9222467097424699,1,1
188,2001-10-05,10165.4501953125,10261.8603515625,10039.509765625,10205.8701171875,10205.8701171875,0,11035.902473958333,0.9247879945723081,0,1
189,2001-10-09,10143.3896484375,10143.3896484375,10011.76953125,10011.76953125,10011.76953125,0,10995.966129557291,0.9104947590133295,0,0
190,2001-10-10,9995.4296875,10030.2197265625,9934.0,9964.8798828125,9964.8798828125,0,10956.128287760417,0.9095256664660193,1,0
191,2001-10-11,10074.509765625,10347.009765625,10052.080078125,10347.009765625,10347.009765625,0,10922.855615234375,0.947280649869048,1,1
192,2001-10-12,10474.349609375,10632.349609375,10421.5703125,10632.349609375,10632.349609375,0,10897.918603515625,0.9756312187856722,1,1
193,2001-10-15,10545.25,10545.25,10447.990234375,10452.5400390625,10452.5400390625,0,10873.917936197917,0.9612487514060868,1,1
194,2001-10-16,10433.900390625,10694.0595703125,10412.25,10637.8203125,10637.8203125,0,10852.741780598959,0.9801965740599149,1,1
195,2001-10-17,10672.0,10790.0302734375,10563.51953125,10755.4501953125,10755.4501953125,0,10838.505452473959,0.9923370193865151,0,1
196,2001-10-18,10654.5302734375,10668.6904296875,10474.849609375,10474.849609375,10474.849609375,0,10815.032112630208,0.9685454005395019,1,0
197,2001-10-19,10472.4404296875,10595.9697265625,10437.7998046875,10538.7900390625,10538.7900390625,0,10792.485107421875,0.97649335942239,1,1
198,2001-10-22,10529.23046875,10581.5400390625,10516.58984375,10565.41015625,10565.41015625,0,10770.9326171875,0.9809187868644224,1,1
199,2001-10-23,10685.349609375,10861.5595703125,10649.58984375,10861.5595703125,10861.5595703125,0,10755.323942057292,1.009877492191545,1,1
200,2001-10-24,10811.6796875,10960.91015625,10771.6298828125,10802.150390625,10802.150390625,0,10742.371956380208,1.005564733234664,1,1
201,2001-10-25,10847.099609375,11052.009765625,10838.599609375,10880.099609375,10880.099609375,0,10726.027457682292,1.0143643256835368,0,1
202,2001-10-26,10951.8798828125,11020.5,10774.2900390625,10795.16015625,10795.16015625,0,10706.624625651042,1.008269228976875,0,0
203,2001-10-29,10779.1904296875,10798.080078125,10612.3095703125,10612.3095703125,10612.3095703125,0,10676.843115234375,0.9939557466354644,0,0
204,2001-10-30,10522.8203125,10538.7900390625,10416.4404296875,10512.8203125,10512.8203125,0,10648.023958333333,0.9873024660385441,0,0
205,2001-10-31,10443.650390625,10478.509765625,10366.33984375,10366.33984375,10366.33984375,0,10616.731282552084,0.9764153926346816,0,0
206,2001-11-01,10430.58984375,10498.3896484375,10318.169921875,10347.2802734375,10347.2802734375,0,10583.86162109375,0.9776469727093993,1,0
207,2001-11-02,10460.6103515625,10538.4501953125,10322.2802734375,10383.7802734375,10383.7802734375,0,10554.196793619793,0.9838531985413317,1,1
208,2001-11-05,10427.349609375,10447.5400390625,10345.2802734375,10447.5400390625,10447.5400390625,0,10532.413134765626,0.9919417236470743,1,1
209,2001-11-06,10518.01953125,10633.7197265625,10494.8896484375,10633.7197265625,10633.7197265625,0,10514.057470703125,1.0113811681354044,0,1
210,2001-11-07,10607.349609375,10632.490234375,10284.98046875,10284.98046875,10284.98046875,0,10494.18115234375,0.9800650779172964,0,0
211,2001-11-08,10345.490234375,10431.7900390625,10269.9697265625,10431.7900390625,10431.7900390625,0,10469.41181640625,0.9964065051596506,0,0
